product_name,product_id,unit_price
50% Dark Bites,1,36.4863921502851
70% Dark Bites,2,27.619728429293747
85% Dark Bars,3,40.0901561188518
99% Dark & Pure,4,38.68294987509066
After Nines,5,33.28095364922882
Almond Choco,6,43.314264519894934
Baker's Choco Chips,7,37.25688502424467
Caramel Stuffed Bars,8,27.93934941300422
Choco Coated Almonds,9,39.28764090054376
Drinking Coco,10,31.14330618892509
Eclairs,11,37.36966639178351
Fruit & Nut Bars,12,35.09135748138117
Manuka Honey Choco,13,37.293900825749915
Milk Bars,14,34.05699087906905
Mint Chip Choco,15,35.985110739989665
Orange Choco,16,34.90790231710933
Organic Choco Syrup,17,40.05362808236589
Peanut Butter Cubes,18,40.90891866293067
Raspberry Choco,19,39.0083245662606
Smooth Sliky Salty,20,41.53661945196336
Spicy Special Slims,21,35.18609594178981
White Choc,22,41.905437634152165
